SalePrice,id
119959.23367560243,1461
151482.61404124362,1462
180201.11824570762,1463
197514.8233928842,1464
202435.46889785148,1465
170554.45264009872,1466
179792.28317937767,1467
159786.04071093095,1468
196124.61955200133,1469
118849.2052518948,1470
188061.71069233373,1471
98874.26980365673,1472
95138.25357927762,1473
143651.30729866732,1474
107788.75061857168,1475
353638.14314073056,1476
246594.43254591417,1477
299793.5995321985,1478
300046.4202370333,1479
468169.9752372091,1480
321388.84000561875,1481
213626.14893551063,1482
181178.62111732387,1483
160707.81008224824,1484
197392.88659331555,1485
194937.77445383373,1486
335954.91986143216,1487
238785.15580227002,1488
189500.21625770672,1489
239798.66074397368,1490
196907.4533114718,1491
92670.8529131723,1492
190784.6020185712,1493
295743.4610012842,1494
288783.65641502215,1495
234248.44559732307,1496
179731.89769289002,1497
171646.39096033355,1498
165691.540665691,1499
158407.5183820527,1500
172991.48452030137,1501
145807.36064313122,1502
285955.016731162,1503
241976.99257046139,1504
225727.14237071425,1505
187589.5306118061,1506
244002.25538638548,1507
201685.50940338848,1508
161701.5415383044,1509
142587.44520450928,1510
150708.87960261348,1511
177473.4017816623,1512
153713.66840333576,1513
154168.90746619593,1514
192749.0254771544,1515
155723.99838381508,1516
171601.90062887376,1517
131337.0345207029,1518
209173.4994610971,1519
125479.57371171149,1520
128980.30256278692,1521
179319.6437055611,1522
110060.92754034915,1523
126801.66325185294,1524
117885.29732852719,1525
110336.76308591776,1526
109264.02010870022,1527
140139.25889166276,1528
149755.07680215585,1529
187504.80580549882,1530
107039.82509138812,1531
98599.05684863815,1532
145728.4730895615,1533
127755.25469745655,1534
146881.02121922126,1535
107061.13494553296,1536
61371.371803504466,1537
147901.28156716004,1538
194948.62671522374,1539
98418.91110615841,1540
137951.04667858419,1541
140329.39145866674,1542
178440.63756684895,1543
88908.58931182281,1544
118531.03120982398,1545
138919.36633612367,1546
128139.74309421337,1547
142760.7944194077,1548
123916.70222188508,1549
133389.37105648918,1550
106602.07149230877,1551
133273.42701225408,1552
145111.39684000303,1553
116067.2310073425,1554
158657.93226600625,1555
86637.64148260179,1556
105269.32949364612,1557
102074.61520967384,1558
63814.60659944515,1559
134649.1359489111,1560
125799.9798181113,1561
131031.86513246874,1562
117680.20589441649,1563
154206.77029860878,1564
150892.40611206493,1565
239164.81548671483,1566
77679.976262095,1567
232878.39778312348,1568
124228.0765092693,1569
141736.11947644464,1570
123612.15160321379,1571
140149.93145571256,1572
228538.74110441524,1573
119907.74377621888,1574
229504.15066392103,1575
250118.58412145358,1576
178039.64736455766,1577
150476.37589702997,1578
143380.50739923737,1579
197272.89248791334,1580
156303.48643871528,1581
124485.68650350426,1582
282176.20064165234,1583
216048.82125907223,1584
133838.37432777492,1585
64044.18503724981,1586
107182.73390964871,1587
151703.40929104006,1588
96467.62933411542,1589
133280.15064108284,1590
89610.56409533844,1591
115188.59492797781,1592
126193.92724812146,1593
122740.51750964402,1594
106236.72857920994,1595
214983.4739796914,1596
196103.51173818333,1597
233247.5502008264,1598
166965.50476474728,1599
158621.4626975983,1600
66602.6100720469,1601
118612.36184225304,1602
70793.61749390143,1603
256727.59264041146,1604
241397.16861480288,1605
168357.11060180157,1606
177799.96527773066,1607
216348.22046138704,1608
180674.31612676175,1609
151484.42903857297,1610
137758.8922111985,1611
173327.86380728066,1612
165116.84677658026,1613
129954.47473427636,1614
96442.210139054,1615
79755.79563618911,1616
95856.30728935194,1617
125122.41062277344,1618
138671.61100422544,1619
146920.42628940474,1620
138712.77649823422,1621
143658.37060357272,1622
258021.39802799487,1623
209067.8557974819,1624
117889.1867122726,1625
173141.44645444787,1626
192793.12437004378,1627
282314.10644227226,1628
184140.01411710802,1629
342628.68902918405,1630
232773.23496040073,1631
247011.55408248422,1632
178443.25858894605,1633
184625.59730917893,1634
174270.6078988268,1635
152514.2121075862,1636
200570.1386455951,1637
177518.6782628043,1638
192763.52969766295,1639
249923.6822487581,1640
184303.96964420218,1641
244898.75487783668,1642
210501.00206606332,1643
235869.61434911462,1644
196655.85697824747,1645
158881.3675379277,1646
161134.41983602845,1647
128651.99814949426,1648
141178.24924304793,1649
112769.95257927642,1650
120842.17201963963,1651
98517.64164313849,1652
101155.74191237647,1653
142619.8000384625,1654
131560.0340899246,1655
138709.42049401478,1656
145419.1742925659,1657
143298.62214231447,1658
114912.0551634596,1659
156594.32868570316,1660
411594.001124572,1661
396439.8517352176,1662
372080.02456428536,1663
477000.41217931913,1664
309112.92647011933,1665
338365.0411485711,1666
383942.5702675074,1667
354254.438826248,1668
318963.21475087816,1669
351882.31799687445,1670
262547.7918206824,1671
412244.8608880149,1672
286223.4964805648,1673
239286.0459929885,1674
197845.64072791184,1675
196586.3420116468,1676
218944.03712598383,1677
435301.39516045386,1678
387734.3660607587,1679
325083.40251399594,1680
250725.11470693533,1681
322499.30819590297,1682
184508.12540429085,1683
176721.99719656486,1684
176342.12979372716,1685
167147.98779102115,1686
177534.6988408622,1687
189330.24104856636,1688
195776.47724101748,1689
199186.85434562518,1690
190066.62675016114,1691
267656.3421393235,1692
173171.1762056913,1693
183850.72479408025,1694
169601.2983448155,1695
260472.09407289446,1696
174897.7193174145,1697
341961.18479366996,1698
310270.3454050385,1699
257384.44461235177,1700
275279.2727324525,1701
235750.08696147086,1702
235931.76246375046,1703
272412.0387747628,1704
242726.99768782814,1705
333216.55824376293,1706
211220.9714521196,1707
201184.1930858056,1708
261543.38607836096,1709
218131.2999064267,1710
278757.53525896784,1711
247684.03252030068,1712
278227.0098885736,1713
222476.2451414561,1714
210089.54326484064,1715
183432.63678701123,1716
178443.04767177033,1717
137171.64555851693,1718
211224.1066446586,1719
242491.3839427218,1720
163641.0439097907,1721
125800.69519266648,1722
155925.0911955097,1723
202071.61030286635,1724
236974.22954262563,1725
187161.06200148462,1726
151058.05379533157,1727
175723.48958039502,1728
169676.50173739836,1729
158886.01218852992,1730
119941.66057567936,1731
123944.25468027839,1732
112869.95683567267,1733
121780.95543881302,1734
124863.5132807247,1735
105853.20675709807,1736
294174.811417096,1737
259083.90195760035,1738
233922.58102235824,1739
202684.75290328576,1740
184282.27498308386,1741
171520.54968395657,1742
180413.9997096489,1743
315768.9938142142,1744
220247.3595425319,1745
187974.28560085208,1746
215379.45993519068,1747
214547.83149056963,1748
142439.9093335411,1749
124111.07348034224,1750
255247.20736014895,1751
114596.53477186488,1752
151037.7221409595,1753
192806.91065076046,1754
163938.01464666746,1755
123997.52415430144,1756
120885.44129005518,1757
147263.43548766873,1758
162284.66278879403,1759
166091.71664232554,1760
147822.40053885547,1761
178134.84361729206,1762
190188.12321847174,1763
112424.95652093369,1764
167735.2769483951,1765
192415.7708304899,1766
222414.2686025404,1767
139810.95511443872,1768
173761.59607359383,1769
155788.59783365525,1770
124542.91527426962,1771
130035.20291741472,1772
124423.1236373996,1773
140756.98928556513,1774
141820.90227535542,1775
132207.6139619353,1776
107171.22037811806,1777
139280.77038631067,1778
118015.01154438176,1779
180127.35834003723,1780
126760.83461847616,1781
84747.3663255285,1782
142398.73950084118,1783
107858.764464403,1784
127039.13780215422,1785
137639.9271551219,1786
167928.7874506219,1787
60907.95024887233,1788
100279.35515035814,1789
77136.01839840168,1790
180702.64167028162,1791
161056.40717777004,1792
127849.2258265891,1793
157116.00962970674,1794
