Id,SalePrice
1461,108487.98756523183
1462,167512.63524581943
1463,196444.1251198159
1464,199261.71125538
1465,187829.9094223454
1466,172447.1641809616
1467,180291.90748075742
1468,162853.56785916034
1469,198957.7825730871
1470,124770.8321626786
1471,185173.79888733022
1472,95039.03074306763
1473,98453.10691071664
1474,152024.50792025684
1475,124165.20061349428
1476,382779.2132992994
1477,275019.52068493917
1478,279219.93999510654
1479,258633.28906469644
1480,501709.6128634296
1481,346137.75451141933
1482,188063.623631647
1483,189270.73067574418
1484,178445.58693168807
1485,184471.8871589096
1486,184847.3460678779
1487,355673.26731736836
1488,238486.20399891198
1489,203730.38034039186
1490,273099.09612244886
1491,179685.94435302872
1492,69064.9398995947
1493,170950.87227720086
1494,351768.6061187175
1495,295301.85454160895
1496,258885.26077583834
1497,188867.02168291577
1498,155386.4036940793
1499,158120.93440227152
1500,153705.04423002957
1501,176235.02418410341
1502,146211.3411348113
1503,325638.74085289624
1504,244764.09914078956
1505,232143.34740406182
1506,213074.36340997982
1507,242370.62231577293
1508,211520.68493051702
1509,166585.91405435873
1510,151155.9512848415
1511,141045.72490440012
1512,183296.8030750122
1513,142159.4728375287
1514,87603.868393791
1515,195474.98331348973
1516,172173.32554130262
1517,178270.62039996043
1518,133161.217253295
1519,233429.24269466457
1520,138549.07737662987
1521,140296.55333969044
1522,164643.4269856943
1523,116741.21576100572
1524,133288.45813994866
1525,118972.7335691643
1526,119175.34159344892
1527,103897.63816425725
1528,132095.02674087384
1529,147967.3097793512
1530,192410.38386735535
1531,84328.65202746428
1532,109166.67263228945
1533,145410.6693485116
1534,133556.82911618444
1535,130027.26823359421
1536,99596.50510305566
1537,27361.785731146952
1538,150875.74555109345
1539,238284.08443188423
1540,83074.59759407568
1541,136039.191522078
1542,126965.47842104778
1543,187243.4827408674
1544,74301.53411962428
1545,107719.68487772645
1546,126999.31027353626
1547,130164.14396926177
1548,137259.76027283468
1549,121859.26540069566
1550,139135.37936839004
1551,109338.06663341071
1552,159788.49625046665
1553,155443.88112395557
1554,125381.90418145899
1555,163703.62850981572
1556,102652.69880030687
1557,100227.37957759426
1558,92405.68227894188
1559,96348.45808986189
1560,117590.62879996776
1561,152358.9758076801
1562,137439.92444951955
1563,128580.3306160914
1564,169590.18494344098
1565,156065.5143090768
1566,228771.06966745862
1567,84244.63692772055
1568,262662.994116934
1569,124562.71750297029
1570,151232.5523524182
1571,126821.51923084125
1572,132879.4480166914
1573,299978.136511009
1574,114223.7722343787
1575,269124.8313083614
1576,218151.21425483306
1577,193866.8496703552
1578,140496.35145381783
1579,158321.45641180148
1580,182836.88625923422
1581,142049.7204227815
1582,127065.84144468876
1583,318655.62417241547
1584,235377.7034981653
1585,141724.47041914077
1586,83893.61623524058
1587,155504.18910407083
1588,144227.0599548474
1589,85405.03539539667
1590,126589.36974417078
1591,91067.74235230692
1592,105561.67805444445
1593,120365.56253210551
1594,159549.70967795115
1595,99954.63654972552
1596,232142.44708387996
1597,197397.91612805787
1598,201320.28339738538
1599,192470.80384331004
1600,163165.20218574698
1601,81778.97425277701
1602,110322.64817264523
1603,51897.890828252006
1604,258728.0089272365
1605,241655.02004778525
1606,165770.193911501
1607,169012.63625508442
1608,225061.00683146933
1609,177156.5033960205
1610,165237.24104097398
1611,168782.1850184086
1612,191873.35834285634
1613,168572.90313811766
1614,122166.90915627607
1615,75255.2309674984
1616,87782.55501154858
1617,89332.39613915831
1618,128603.39638496032
1619,149210.3738570491
1620,158164.79895327956
1621,133986.91786002778
1622,159837.57639543145
1623,319753.91072944686
1624,230481.79798544524
1625,124843.02851432399
1626,165487.5969297328
1627,187273.313443962
1628,264555.9462300997
1629,187596.22037845082
1630,383404.2072544678
1631,185109.96559164056
1632,239728.93478164557
1633,171015.0467936972
1634,189152.43971782783
1635,176590.03126277443
1636,167866.50432110077
1637,183420.28248930123
1638,192539.56487321743
1639,196888.93207580945
1640,241744.80236494963
1641,185223.58300107447
1642,237577.69742029344
1643,219344.55668154178
1644,240525.49991229008
1645,212786.26370725135
1646,168749.6513265632
1647,155266.87724635753
1648,136150.6375645864
1649,141387.29326094987
1650,78760.51465852374
1651,129136.79367146779
1652,108050.76771062978
1653,102441.1957192854
